,name,latitude,longitude,date,time,temperature,wind_speed,wind_dir,humidity,visibility
292,Dioni,38.023,23.933,2019-06-06,1200,27,8,205,44,10
293,Dioni,38.023,23.933,2019-06-06,1500,27,11,155,44,10
294,Dioni,38.023,23.933,2019-06-06,1800,26,12,155,52,10
295,Dioni,38.023,23.933,2019-06-06,2100,24,8,155,57,10
296,Dioni,38.023,23.933,2019-06-07,0,22,6,225,60,10
297,Dioni,38.023,23.933,2019-06-07,300,21,5,270,64,10
298,Dioni,38.023,23.933,2019-06-07,600,23,7,335,51,10
299,Dioni,38.023,23.933,2019-06-07,900,28,8,45,43,10
300,Dioni,38.023,23.933,2019-06-07,1200,30,8,155,40,10
301,Dioni,38.023,23.933,2019-06-07,1500,30,8,65,38,10
302,Dioni,38.023,23.933,2019-06-07,1800,30,7,115,49,10
303,Dioni,38.023,23.933,2019-06-07,2100,26,5,180,55,10
304,Dioni,38.023,23.933,2019-06-08,0,24,4,270,53,10
305,Dioni,38.023,23.933,2019-06-08,300,23,6,225,51,10
306,Dioni,38.023,23.933,2019-06-08,600,24,9,360,42,10
307,Dioni,38.023,23.933,2019-06-08,900,30,12,360,37,10
308,Dioni,38.023,23.933,2019-06-08,1200,31,17,25,34,10
309,Dioni,38.023,23.933,2019-06-08,1500,32,17,25,30,10
310,Dioni,38.023,23.933,2019-06-08,1800,30,14,25,40,10
311,Dioni,38.023,23.933,2019-06-08,2100,26,9,135,46,10
312,Dioni,38.023,23.933,2019-06-09,0,25,8,360,46,10
313,Dioni,38.023,23.933,2019-06-09,300,24,9,360,48,10
314,Dioni,38.023,23.933,2019-06-09,600,25,11,360,43,10
315,Dioni,38.023,23.933,2019-06-09,900,31,15,45,37,10
316,Dioni,38.023,23.933,2019-06-09,1200,30,22,135,38,10
317,Dioni,38.023,23.933,2019-06-09,1500,29,25,25,40,10
318,Dioni,38.023,23.933,2019-06-09,1800,27,28,25,50,10
319,Dioni,38.023,23.933,2019-06-09,2100,25,19,135,58,10
320,Dioni,38.023,23.933,2019-06-10,0,24,17,360,67,10
321,Dioni,38.023,23.933,2019-06-10,300,23,17,360,73,10
322,Dioni,38.023,23.933,2019-06-10,600,23,17,225,60,10
323,Dioni,38.023,23.933,2019-06-10,900,27,29,360,50,10
324,Dioni,38.023,23.933,2019-06-10,1200,27,29,360,47,10
325,Dioni,38.023,23.933,2019-06-10,1500,26,26,360,45,10
326,Dioni,38.023,23.933,2019-06-10,1800,25,22,115,53,10
327,Dioni,38.023,23.933,2019-06-10,2100,23,15,335,57,10
328,Dioni,38.023,23.933,2019-06-11,0,23,10,335,60,10
329,Dioni,38.023,23.933,2019-06-11,300,22,10,315,62,10
330,Dioni,38.023,23.933,2019-06-11,600,23,9,335,56,10
331,Dioni,38.023,23.933,2019-06-11,900,27,12,225,46,10
332,Dioni,38.023,23.933,2019-06-11,1200,28,11,135,45,10
333,Dioni,38.023,23.933,2019-06-11,1500,28,6,65,44,10
334,Dioni,38.023,23.933,2019-06-11,1800,25,9,135,56,10
335,Dioni,38.023,23.933,2019-06-11,2100,25,8,155,61,10
336,Dioni,38.023,23.933,2019-06-12,0,23,6,225,63,10
337,Dioni,38.023,23.933,2019-06-12,300,22,5,315,60,10
338,Dioni,38.023,23.933,2019-06-12,600,23,6,315,48,10
