name,latitude,longitude,date,time,temperature,wind_speed,wind_dir,humidity,visibility,fire
Kato Soulion,38.168,24.016,2014-02-08,600,7,13,205,91,10,0
Kato Soulion,38.168,24.016,2014-02-08,900,10,10,205,75,10,0
Kato Soulion,38.168,24.016,2014-02-08,1200,12,17,205,71,10,0
Kato Soulion,38.168,24.016,2014-02-08,1500,13,20,205,68,10,0
Kato Soulion,38.168,24.016,2014-02-08,1800,11,12,180,82,10,0
Kato Soulion,38.168,24.016,2014-02-08,2100,9,12,205,85,10,0
Kato Soulion,38.168,24.016,2014-02-09,0,8,11,205,87,10,0
Kato Soulion,38.168,24.016,2014-02-09,300,7,13,205,86,10,0
Kato Soulion,38.168,24.016,2014-02-09,600,7,15,205,85,10,0
Kato Soulion,38.168,24.016,2014-02-09,900,11,11,205,73,10,0
Kato Soulion,38.168,24.016,2014-02-09,1200,13,16,205,69,10,0
Kato Soulion,38.168,24.016,2014-02-09,1500,14,16,205,65,10,0
Kato Soulion,38.168,24.016,2014-02-09,1800,11,11,225,76,10,0
Kato Soulion,38.168,24.016,2014-02-09,2100,9,11,45,78,10,0
Kato Soulion,38.168,24.016,2014-02-10,0,8,12,45,75,10,0
Kato Soulion,38.168,24.016,2014-02-10,300,8,16,205,76,10,0
Kato Soulion,38.168,24.016,2014-02-10,600,8,14,225,79,10,0
Kato Soulion,38.168,24.016,2014-02-10,900,11,11,225,66,10,0
Kato Soulion,38.168,24.016,2014-02-10,1200,13,8,205,63,10,0
Kato Soulion,38.168,24.016,2014-02-10,1500,15,5,180,60,10,0
Kato Soulion,38.168,24.016,2014-02-10,1800,12,11,180,70,10,0
Kato Soulion,38.168,24.016,2014-02-10,2100,9,10,180,76,10,0
Kato Soulion,38.168,24.016,2014-02-11,0,8,10,205,81,10,0
Kato Soulion,38.168,24.016,2014-02-11,300,8,11,205,86,10,0
Kato Soulion,38.168,24.016,2014-02-11,600,7,8,205,88,10,0
Kato Soulion,38.168,24.016,2014-02-11,900,10,8,180,72,10,0
Kato Soulion,38.168,24.016,2014-02-11,1200,13,10,180,72,10,0
Kato Soulion,38.168,24.016,2014-02-11,1500,15,13,180,72,10,0
Kato Soulion,38.168,24.016,2014-02-11,1800,12,12,180,89,10,0
Kato Soulion,38.168,24.016,2014-02-11,2100,10,12,180,89,10,0
Kato Soulion,38.168,24.016,2014-02-12,0,9,11,180,91,10,0
Kato Soulion,38.168,24.016,2014-02-12,300,8,10,180,92,10,0
Kato Soulion,38.168,24.016,2014-02-12,600,8,11,180,93,10,0
Kato Soulion,38.168,24.016,2014-02-12,900,11,13,180,69,10,0
Kato Soulion,38.168,24.016,2014-02-12,1200,13,18,155,67,10,0
Kato Soulion,38.168,24.016,2014-02-12,1500,14,22,155,64,10,0
Kato Soulion,38.168,24.016,2014-02-12,1800,11,17,155,85,10,0
Kato Soulion,38.168,24.016,2014-02-12,2100,10,10,180,87,10,0
Kato Soulion,38.168,24.016,2014-02-13,0,8,11,225,86,10,0
Kato Soulion,38.168,24.016,2014-02-13,300,7,9,45,86,10,0
Kato Soulion,38.168,24.016,2014-02-13,600,6,10,315,84,10,0
Kato Soulion,38.168,24.016,2014-02-13,900,9,6,315,64,10,0
Kato Soulion,38.168,24.016,2014-02-13,1200,11,6,180,62,10,0
Kato Soulion,38.168,24.016,2014-02-13,1500,11,6,65,61,10,0
Kato Soulion,38.168,24.016,2014-02-13,1800,9,6,155,77,10,0
Kato Soulion,38.168,24.016,2014-02-13,2100,8,8,225,75,10,0
Kato Soulion,38.168,24.016,2014-02-14,0,7,10,315,74,10,0
Kato Soulion,38.168,24.016,2014-02-14,300,6,9,270,82,10,0
Kato Soulion,38.168,24.016,2014-02-14,600,6,11,45,83,10,0
Kato Soulion,38.168,24.016,2014-02-14,900,9,8,45,59,10,0
Kato Soulion,38.168,24.016,2014-02-14,1200,11,10,315,57,10,0
Kato Soulion,38.168,24.016,2014-02-14,1500,11,13,360,55,10,0
Kato Soulion,38.168,24.016,2014-02-14,1800,9,6,25,69,10,0
Kato Soulion,38.168,24.016,2014-02-14,2100,8,8,335,72,10,0
Kato Soulion,38.168,24.016,2014-02-15,0,7,10,315,71,10,0
Kato Soulion,38.168,24.016,2014-02-15,300,6,14,335,71,10,0
Kato Soulion,38.168,24.016,2014-02-15,600,6,13,335,72,10,0
Kato Soulion,38.168,24.016,2014-02-15,900,9,15,360,65,10,0
Kato Soulion,38.168,24.016,2014-02-15,1200,10,20,360,66,10,0
Kato Soulion,38.168,24.016,2014-02-15,1500,10,17,360,67,10,0
